Phase,Category,Sub-Category,Checklist Item,Severity,Review Type,Mandatory,Status (Pass / Fail / NA),Reviewer Comments
Cross-Browser & Device,Browser Testing,Functional,JavaScript-dependent features work correctly across all target browsers including Safari and Firefox,Critical,Cross-browser testing,Yes,,
Cross-Browser & Device,Mobile Testing,Touch,Touch interactions work correctly on iOS and Android; touch target sizes meet minimum 44x44px (WCAG 2.5.8); no double-tap-to-zoom interference,Critical,Device testing,Yes,,
Cross-Browser & Device,Mobile Testing,Behavior,Scrolling is smooth on mobile; landscape and portrait orientations handled gracefully without content clipping,High,Device testing,Yes,,
Cross-Browser & Device,Mobile Testing,Behavior,Mobile keyboard does not obscure active input field; appropriate keyboard types triggered for different input fields,High,Device testing,Yes,,
Responsive Design,Layout Quality,Breakpoints,Layout adapts gracefully at all viewport widths; content reflow between breakpoints maintains logical reading order and visual hierarchy,High,Responsive testing,Yes,,
Responsive Design,Layout Quality,Content,Images scale without distortion; typography remains readable at all viewport sizes; tables usable on mobile viewports,High,Visual inspection,Yes,,
Responsive Design,Layout Quality,Navigation,Navigation adapts appropriately for mobile; mobile navigation overlay does not create accessibility issues and can be closed easily,High,UX review,Yes,,
Accessibility,Screen Reader,Content,Screen reader announces page content in logical order; custom interactive components (dropdowns; tabs; accordions) are understandable and operable via screen reader,Critical,Assistive tech testing,Yes,,
Accessibility,Screen Reader,Content,Dynamic content changes announced appropriately; image alt text accurately conveys meaning; decorative images hidden from screen reader,High,Assistive tech testing,Yes,,
Accessibility,Cognitive,Complexity,Cognitive load is appropriate; consistent interaction patterns used throughout; instructions do not rely solely on sensory characteristics,High,UX review,Yes,,
Accessibility,Cognitive,Timing,Time-based content and session timeouts provide adequate warnings and options to extend,High,UX review,Yes,,
Accessibility,Visual,Color,Information conveyed by color is also conveyed through text labels; patterns; or icons; color choices reviewed with color vision deficiency simulators,Critical,Accessibility review,Yes,,
Accessibility,Visual,Zoom,Content remains functional and readable at 400% zoom as required by WCAG 2.1 AA Reflow criterion,High,Accessibility review,Yes,,
Performance,Perceived Performance,Loading,Above-the-fold content loads and renders within perceptually acceptable time (<2.5s); page transitions feel responsive with no white flashes or layout jumps,Critical,Performance testing,Yes,,
Performance,Perceived Performance,Interaction,Scroll performance is smooth on content-heavy pages; large datasets use appropriate pagination or virtualization,High,Performance testing,Yes,,
Performance,Perceived Performance,Resilience,Offline or slow network degrades gracefully; third-party script failures do not block or degrade core page functionality,High,UX review,Yes,,
Internationalization,Localization,Layout,RTL layout renders correctly for RTL languages; text expansion (up to 200% longer than English) does not break layouts or cause overflow,High,Localization review,Yes,,
Internationalization,Localization,Formatting,Date; time; number; currency formats and decimal separators match target locale conventions,High,Localization review,Yes,,
Internationalization,Localization,Content,Translated content fits within UI containers without clipping; buttons and labels accommodate longer translations,High,Visual inspection,Yes,,
Architecture & Code Review,Build & Tooling,AEM/CMS,AEM or CMS-specific frontend build tooling configured correctly; webfont loading strategy prevents FOIT in production,High,Architecture review,Yes,,
Architecture & Code Review,Build & Tooling,Dependencies,Third-party library and framework choices are justified; no redundant libraries serving the same purpose,High,Architecture review,Yes,,
Architecture & Code Review,CSS Architecture,Methodology,CSS architecture follows agreed methodology (BEM; ITCSS; utility-first) consistently; component CSS is self-contained without unintended side effects,High,Code review,Yes,,
Architecture & Code Review,Component Quality,Documentation,Component library documentation is complete and up to date; design system tokens in code match latest design specifications,High,Cross-reference review,Yes,,
Architecture & Code Review,Component Quality,Comments,Functions and complex code blocks have descriptive comments explaining purpose and business logic rationale,High,Code review,Yes,,
Architecture & Code Review,Component Quality,Props,Component prop interfaces are well-defined; use specific types (not 'any'); and documented with descriptions,High,Code review,Yes,,
SEO & Discoverability,Structured Data,Schema,Structured data (JSON-LD / Schema.org) is valid and passes Google Rich Results Test for all key page templates,High,SEO review,Yes,,
SEO & Discoverability,Social Sharing,Meta Tags,Open Graph meta tags (og:title; og:description; og:image; og:url) present and correct on shareable pages,High,SEO review,Yes,,
SEO & Discoverability,Indexing,Configuration,Sitemap.xml is complete and submitted to search engines; robots.txt configured correctly and does not block important pages,High,SEO review,Yes,,
Process & Governance,Project Management,Tooling,Project management tool set up and actively used; board reflects current sprint work accurately; backlog is groomed and prioritized,Critical,Process review,Yes,,
Process & Governance,Project Management,Tooling,Tickets have clear acceptance criteria and priority before development; bug tickets include reproduction steps; severity; and expected vs actual behavior,High,Process review,Yes,,
Process & Governance,Project Management,Traceability,Definition of Done documented and agreed upon; git commits and PRs reference ticket IDs for traceability from requirement to deployment,Critical,Process review,Yes,,
Process & Governance,Design & Handoff,Tooling,Design tool used for all UI work; component library mirrors development library; design tokens synchronized between design and code,Critical,Process review,Yes,,
Process & Governance,Design & Handoff,Tooling,Design files include specifications for all viewport breakpoints (mobile; tablet; desktop),High,Process review,Yes,,
Process & Governance,Design & Handoff,Process,Design-to-development handoff process defined; design QA step exists where designer reviews implemented UI before ticket completion,High,Process review,Yes,,
Process & Governance,Version Control & Branching,Strategy,Branching strategy documented (Git Flow; GitHub Flow; Trunk-Based) and understood by all team members,Critical,Process review,Yes,,
Process & Governance,Version Control & Branching,Strategy,Release and hotfix processes documented; releases versioned (semantic versioning preferred); hotfixes merge back to both main and develop,High,Process review,Yes,,
Process & Governance,Code Review,Standards,Code review checklist documented; reviewers check for functionality; readability; security; performance; and accessibility,Critical,Process review,Yes,,
Process & Governance,Code Review,Standards,Code reviews completed within agreed SLA; feedback is constructive and references coding standards or best practices,High,Process review,Yes,,
Process & Governance,QA & Testing Process,Process,QA testing process defined with functional; regression; and exploratory testing; QA environment mirrors production configuration,Critical,Process review,Yes,,
Process & Governance,QA & Testing Process,Process,Cross-browser and device testing matrix defined; target browsers/devices documented and tested before major releases,High,Process review,Yes,,
Process & Governance,QA & Testing Process,Sign-off,Accessibility testing included in QA process; UAT or stakeholder sign-off required before production deployment,High,Process review,Yes,,
Process & Governance,Release & Deployment,Process,Release checklist documented and followed; rollback plan documented and tested for deployment revert within defined threshold,Critical,Process review,Yes,,
Process & Governance,Release & Deployment,Monitoring,Post-deployment monitoring in place (error tracking; performance; uptime); incident response process documented with escalation paths,High,Process review,Yes,,
Process & Governance,Team & Knowledge,Documentation,Technical documentation (architecture decisions; ADRs; system diagrams) maintained and current; onboarding documentation exists for new developers,High,Process review,Yes,,
Process & Governance,Team & Knowledge,Documentation,Technical debt tracked in issue tracker; regularly reviewed and prioritized for remediation,High,Process review,Yes,,
Process & Governance,Dependency & Security Policy,Policy,Dependency update policy documented; security patches applied within defined SLA,High,Process review,Yes,,
Process & Governance,Dependency & Security Policy,Policy,Secrets management process defined; API keys and credentials stored in vault or environment variables; secret rotation policy in place,Critical,Process review,Yes,,
Process & Governance,GenAI Tools & Governance,Policy & Compliance,GenAI usage policy documented covering approved tools; permitted use cases; data handling restrictions; and code review requirements for AI-generated output,Critical,Process review,Yes,,
Process & Governance,GenAI Tools & Governance,Policy & Compliance,Only licensed and organization-approved GenAI tools used; enterprise tiers used where available for data privacy and IP protection,Critical,Process review,Yes,,
Process & Governance,GenAI Tools & Governance,Policy & Compliance,Confidential source code; customer data; and internal business logic not submitted to public GenAI services without data-privacy safeguards,Critical,Process review,Yes,,
Process & Governance,GenAI Tools & Governance,Policy & Compliance,GenAI usage compliant with client contractual obligations; disclosure provided where contractually required,Critical,Process review,Yes,,
Process & Governance,GenAI Tools & Governance,Workflow Integration,AI-generated code identified in PRs and undergoes same review rigor as human-written code; reviewers verify logic; edge cases; and security,Critical,Process review,Yes,,
Process & Governance,GenAI Tools & Governance,Workflow Integration,GenAI tools configured with project-specific context (.cursorrules; copilot-instructions) to align output with project coding standards,High,Process review,Yes,,
Process & Governance,GenAI Tools & Governance,Quality & Oversight,Developers understand and can explain all committed code regardless of generation method; no 'black box' code merged,Critical,Process review,Yes,,
Process & Governance,GenAI Tools & Governance,Quality & Oversight,AI-generated documentation reviewed for accuracy; no hallucinated feature descriptions or API references committed without verification,High,Process review,Yes,,
Process & Governance,GenAI Tools & Governance,IP & Legal,AI-generated code reviewed for IP concerns; no verbatim reproduction of third-party copyrighted code; telemetry and data-sharing settings reviewed,High,Legal review,Yes,,
Process & Governance,GenAI Tools & Governance,Accessibility & Inclusive AI,AI-generated UI components reviewed for accessibility compliance; manual verification required for ARIA attributes; keyboard handlers; and semantic HTML,High,Accessibility review,Yes,,
