Solution,Phase,Category,Sub Category,Item,Priority,Implemented? (Yes / No / NA),Comments
AEM EDS,Discover,"Architecture, Design & Implementation",Functional Requirement,Are the personalization (Adobe Target / EDS Experimentation) use-cases documented?,High,,
AEM EDS,Discover,"Architecture, Design & Implementation",Functional Requirement,Are the Forms Authoring requirements documented?,Medium,,
AEM EDS,Discover,"Architecture, Design & Implementation",Functional Requirement,Are DOR requirements documented?,Medium,,
AEM EDS,Discover,"Architecture, Design & Implementation",UI Requirement,Are the requirements on themes and templates documented?,High,,
AEM EDS,Discover,"Architecture, Design & Implementation",Functional Requirement,Do we have a list of different asset formats expected to be on system?,High,,
AEM EDS,Discover,"Architecture, Design & Implementation",Functional Requirement,Are renditions requirements identified and documented?,Medium,,
AEM EDS,Discover,"Architecture, Design & Implementation",Functional Requirement,Are workflow requirements identified and documented?,Medium,,
AEM EDS,Discover,"Architecture, Design & Implementation",System Context,Are all the systems needed for implementation completed procurement?,High,,
AEM EDS,Discover,"Architecture, Design & Implementation",Solution Architecture,Are SCoE tools and templates utilized and evaluated? Which tools are planned to be used?,High,,
AEM EDS,Discover,"Architecture, Design & Implementation",Solution Architecture,Has the feasibility assessment considering functional and non-functional requirements been done?,High,,
AEM EDS,Discover,"Architecture, Design & Implementation",Solution Architecture,Is the physical architecture/topology finalized?,High,,
AEM EDS,Discover,"Architecture, Design & Implementation",Solution Architecture,"Does the solution architecture consider all functional and non-functional requirements, including: Accessibility, Usability, i18n, Capacity/Scalability, Regulatory Compliance, Conformance, Security, Performance, Disaster Recovery, System Monitoring?",High,,
AEM EDS,Discover,"Architecture, Design & Implementation",Solution Architecture,"Does the solution include other Adobe Products (Analytics, Target, Campaign, Dynamic Media, Adobe Sign)? Are the integrations depicted in the solution architecture document?",High,,
AEM EDS,Design,"Architecture, Design & Implementation",Code Quality,Are the software development standards defined?,High,,
AEM EDS,Design,"Architecture, Design & Implementation",Code Quality,Are code quality benchmarks and code coverage benchmarks defined? Are necessary tools identified and adherence mandated/ensured as part of development process? Are reports available if needed?,High,,
AEM EDS,Design,"Architecture, Design & Implementation",Code Quality,"Is code review checklist defined, is the review process established before approving any PR?",High,,
AEM EDS,Design,"Architecture, Design & Implementation",Code Quality,Does the project have a code formatter like Check Style enforced in development tools (VSCode) to generate error/warnings if formatting is not followed?,High,,
AEM EDS,Design,"Architecture, Design & Implementation",Product Feedback,Are there any features that you wish to be added as part of the product? Is FPR created in Jira and assigned to the respective team?,Medium,,
AEM EDS,Design,"Architecture, Design & Implementation",Solution Architecture,Are SCoE tools and templates utilized and evaluated? Which tools are planned to be used?,High,,
AEM EDS,Design,"Architecture, Design & Implementation",Solution Architecture,Has the feasibility assessment considering functional and non-functional requirements been done?,High,,
AEM EDS,Design,"Architecture, Design & Implementation",Solution Architecture,Is the physical architecture/topology finalized?,High,,
AEM EDS,Design,"Architecture, Design & Implementation",Solution Architecture,"Does solution architecture consider all functional and non-functional requirements including Accessibility, Usability, i18n, Capacity/Scalability, Regulatory Compliance, Conformance, Security, Performance, Disaster Recovery, and System Monitoring?",High,,
AEM EDS,Design,"Architecture, Design & Implementation",Solution Architecture,"Does the solution include other Adobe Products like Adobe Analytics, Target, Campaign, Dynamic Media? Are integrations depicted in the solution architecture document?",High,,
AEM EDS,Design,"Architecture, Design & Implementation",Solution Architecture,"Does the solution architecture document cover: Architecture goal, Technology stack, Logical view, Process/Data flow view, Deployment view, Development view, Physical view, NFR solution/design, Hosted/Provided services, SCM repos/branching/versioning, Configuration management, Development standards, Definition of Done (DoD), Migration strategy?",High,,
AEM EDS,Design,"Architecture, Design & Implementation",Solution Architecture,Is solution architecture document signed off by the customer?,High,,
AEM EDS,Design,"Architecture, Design & Implementation",UI,Does the project have implementation of data layer to interact with JS data objects?,High,,
AEM EDS,Design,"Architecture, Design & Implementation",UI,Does the project have RUM-based implementation?,High,,
AEM EDS,Design,"Architecture, Design & Implementation",UI,"Are JavaScript coding conventions documented, distributed and discussed with UI developers?",High,,
AEM EDS,Design,"Architecture, Design & Implementation",UI,Are annotated wireframes/designs available and scheduled to be delivered at least 3 weeks before each sprint start?,High,,
AEM EDS,Design,"Architecture, Design & Implementation",UI,Are the various breakpoints identified and agreed?,High,,
AEM EDS,Design,"Architecture, Design & Implementation",HLD,Does the project use EDS OOTB forms?,High,,
AEM EDS,Design,"Architecture, Design & Implementation",HLD,Does the project use AEM Forms for EDS?,High,,
AEM EDS,Design,"Architecture, Design & Implementation",HLD,Does design leverage OOTB client-side validation capabilities?,High,,
AEM EDS,Design,"Architecture, Design & Implementation",HLD,Does the hosted/provided web service conform to REST standards?,Medium,,
AEM EDS,Design,"Architecture, Design & Implementation",HLD,Are guidelines defined for error handling?,High,,
AEM EDS,Design,"Architecture, Design & Implementation",HLD,Are guidelines defined to transform service errors to user-friendly and localized messages?,High,,
AEM EDS,Design,"Architecture, Design & Implementation",HLD,Is the mechanism defined to derive the intended locale?,Medium,,
AEM EDS,Design,"Architecture, Design & Implementation",HLD,"Is there a need to support multiple themes? If yes, is the mechanism in place to identify the required theme?",Medium,,
AEM EDS,Design,"Architecture, Design & Implementation",HLD,Is latest and relevant EDS Boilerplate used to create the project structure?,High,,
AEM EDS,Design,"Architecture, Design & Implementation",Solution Architecture,Is any transactional data stored?,High,,
AEM EDS,Design,"Architecture, Design & Implementation",Solution Architecture,Are integration specifications of external systems available?,High,,
AEM EDS,Design,"Architecture, Design & Implementation",Solution Architecture,Are there any video asset-specific requirements?,Medium,,
AEM EDS,Design,"Architecture, Design & Implementation",Solution Architecture,Is Search in scope?,Low,,
AEM EDS,Design,"Architecture, Design & Implementation",Solution Architecture,Is EDS OOTB search index used?, ,,
AEM EDS,Design,"Architecture, Design & Implementation",Solution Architecture,Are search attributes identified?,Medium,,
AEM EDS,Design,"Architecture, Design & Implementation",Solution Architecture,Is 3rd-party search solution to be used?,Medium,,
AEM EDS,Design,"Architecture, Design & Implementation",Solution Architecture,"If content track is owned by Adobe, are content-related items like content strategy, IA, conversion documented?",Medium,,
AEM EDS,Design,"Architecture, Design & Implementation",Solution Architecture,"Is content ingestion in scope? If yes, is the process documented?",High,,
AEM EDS,Design,"Architecture, Design & Implementation",Solution Architecture,Is content translation in scope? Which connector is being used for translation? Are details documented?,Medium,,
AEM EDS,Setup,"Architecture, Design & Implementation",SCM,Are the necessary environments/branches identified?,High,,
AEM EDS,Setup,"Architecture, Design & Implementation",SCM,Is Adobe Git used?,Low,,
AEM EDS,Setup,"Architecture, Design & Implementation",SCM,Is the Git repository public?,Low,,
AEM EDS,Setup,"Architecture, Design & Implementation",Non-Functional Requirement,Are all the platforms configured with appropriate access?,High,,
AEM EDS,Setup,"Architecture, Design & Implementation",Code Quality,"Are quality tools (ESLint, Checkstyle, etc.) installed/available?",High,,
AEM EDS,Setup,"Architecture, Design & Implementation",SCM,Are the Git repositories created with appropriate access to the team?,High,,
AEM EDS,Setup,"Architecture, Design & Implementation",Environment,Is the system available for demo to the business at the end of each iteration?,Medium,,
AEM EDS,Setup,"Architecture, Design & Implementation",Non-Functional Requirement,Is the CDN configured optimally considering performance requirements?,High,,
AEM EDS,Setup,"Architecture, Design & Implementation",Development,Do all developers have local environments set up per recommended standards/configurations?,Medium,,
AEM EDS,Setup,"Architecture, Design & Implementation",Environment,Are appropriate configurations maintained for all environments?,High,,
AEM EDS,Setup,"Architecture, Design & Implementation",CI/CD,Is the CI/CD environment setup and available?,High,,
AEM EDS,Setup,Customization & Integrations,Integration,Is connectivity with 3rd-party services established and tested with all external systems involved?,High,,
AEM EDS,Setup,"Architecture, Design & Implementation",Development,Are developer workstations equipped with necessary tools?,High,,
AEM EDS,Setup,"Architecture, Design & Implementation",Artifact Repository,Is the code repository setup (from EDS Boilerplate)?,High,,
AEM EDS,Setup,"Architecture, Design & Implementation",Development,Is the team equipped with necessary devices (mobiles/tablets) or simulators for development/QA activities?,High,,
AEM EDS,Setup,"Architecture, Design & Implementation",Environment,"Are environments protected against known security vulnerabilities, and are automatic security updates in place?",High,,
AEM EDS,Setup,"Architecture, Design & Implementation",Non-Functional Requirement,Are required monitoring and logging configurations applied for all environments?,High,,
AEM EDS,Setup,"Architecture, Design & Implementation",Environment,Are environment-specific configuration values defined and validated (AEM run modes / cloud configs)?,High,,
AEM EDS,Setup,"Architecture, Design & Implementation",CI/CD,Are deployment pipelines validating code quality and automated tests before deployment?,High,,
AEM EDS,Setup,"Architecture, Design & Implementation",SCM,Is branching strategy documented and communicated to the team?,High,,
AEM EDS,Development,Code Quality,AEM,Have you identified and finalized the list of templates/themes?,High,,
AEM EDS,Development,Code Quality,AEM,Have you identified the list of blocks needed?,High,,
AEM EDS,Development,Code Quality,AEM,Have you mapped usable blocks from block library?,Medium,,
AEM EDS,Development,Code Quality,AEM,Is the block library plugin configured?,Medium,,
AEM EDS,Development,Code Quality,AEM,Are environment secrets used to store passwords/tokens or secrets?,High,,
AEM EDS,Development,Code Quality,AEM,Have you configured environment variables for environment-specific values?,Medium,,
AEM EDS,Development,Code Quality,AEM,Have reasonable connect and read timeouts been set for outgoing HTTP connections?,High,,
AEM EDS,Development,Code Quality,AEM,Are form authoring aspects/requirements taken into consideration?,High,,
AEM EDS,Development,Code Quality,AEM,Is lazy loading implemented for fragments?,Medium,,
AEM EDS,Development,Code Quality,AEM,Is DOR (Deferred Object Rendering) capability used and validated?,High,,
AEM EDS,Development,Code Quality,AEM,Are HTTP error codes and API status codes handled for REST API invocations?,High,,
AEM EDS,Development,Code Quality,AEM,Are user interactions frozen while back-end transactions are in progress?,High,,
AEM EDS,Development,Code Quality,AEM,Are placeholders configured for custom blocks to use static strings?,High,,
AEM EDS,Development,Code Quality,AEM,Are unit test scripts (Cypress) created for blocks?,Medium,,
AEM EDS,Development,Code Quality,Product Feedback,Are there any product defects identified? Are Jira tickets created and assigned?,Low,,
AEM EDS,Development,Code Quality,Product Contribution,Are there any components/artifacts developed worth adding to the product?,Low,,
AEM EDS,Development,Code Quality,Reusable Components,Are there any components/artifacts developed worth sharing with other projects?,High,,
AEM EDS,Development,Code Quality,UI,"Are all fonts, images, and styles served from the application and not referring to third-party resources?",High,,
AEM EDS,Development,Code Quality,Code,Are code/implementation reviews conducted regularly?,Medium,,
AEM EDS,Development,Code Quality,Code,Have all blocker/critical/major code quality issues been resolved?,High,,
AEM EDS,Development,Code Quality,Code,Does the project meet the intended code coverage criteria?,High,,
AEM EDS,Development,Code Quality,Code,Do team members have code quality check tools like JS Lint installed locally for pre-PR checks?,High,,
AEM EDS,Development,Code Quality,AEM,Are any custom query indexes created?,Medium,,
AEM EDS,Development,Code Quality,AEM,Are accessibility/usability requirements handled in implementation?,Medium,,
AEM EDS,Development,Code Quality,AEM,Are developer best practices followed?,Medium,,
AEM EDS,Development,Code Quality,AEM,Have you updated vanity URLs?,Medium,,
AEM EDS,Development,Code Quality,AEM,Are metadata configured for pages (page level / site level)?,Low,,
AEM EDS,Development,Code Quality,AEM,Is sitemap.xml configured?,Medium,,
AEM EDS,Development,Code Quality,AEM,Is robots.txt configured to skip crawling pages from non-prod environments?,High,,
AEM EDS,Development,Code Quality,Code,Is indexing optimized and maintained as per customer requirements?,High,,
AEM EDS,Development,Code Quality,Code,Is index definition made part of code base?,High,,
AEM EDS,Development,Code Quality,Code,Is content automation utilized in the project?,Medium,,
AEM EDS,Development,Code Quality,Code,"Are third-party systems accessing assets from EDS? If yes, how?",High,,
AEM EDS,Development,Code Quality,Code,"Are SCoE portal tools used? If yes, list them; if no, explain why not utilized?",High,,
AEM EDS,Development,Code Quality,Code,Is code branching strategy documented and followed?,High,,
AEM EDS,Development,Code Quality,Code,Is a review workflow being used? OOTB or custom?,Medium,,
AEM EDS,Development,Environment,Environment,"Are system configurations for development, staging, and production available and validated?",High,,
AEM EDS,Development,Environment,Environment,Are appropriate permissions applied for all environments?,High,,
AEM EDS,Development,Development,Development,Are all developers’ local environments configured per recommended standards?,Medium,,
AEM EDS,Development,Development,Development,Are developer workstations equipped with necessary tools and simulators?,High,,
AEM EDS,Development,Development,Development,Are integration tests with backend systems completed successfully?,High,,
AEM EDS,Development,Development,Development,Are data source configurations pointing to appropriate environments (dev/staging/prod)?,High,,
AEM EDS,Development,Development,Development,Are hotfixes merged to master and development branches?,High,,
AEM EDS,Development,Non-Functional Requirement,Performance,Are performance monitoring tools configured and validated?,High,,
AEM EDS,Development,Non-Functional Requirement,Security,Are security scans executed for development environments? Are vulnerabilities tracked and mitigated?,High,,
AEM EDS,Development,Non-Functional Requirement,Accessibility,"Are accessibility checks executed, issues documented, and corrected?",High,,
AEM EDS,Development,Non-Functional Requirement,Usability,Are usability reviews conducted for implemented components?,High,,
AEM EDS,Reusability,"Architecture, Design & Implementation",Reusability & Multi-Track,Are reusable components implemented in a modular and track-independent way?,High,,
AEM EDS,Reusability,"Architecture, Design & Implementation",Reusability & Multi-Track,Are shared front-end and back-end APIs reused across tracks?,High,,
AEM EDS,Reusability,"Architecture, Design & Implementation",Reusability & Multi-Track,"Are common error handling, logging, and monitoring mechanisms implemented for shared modules?",High,,
AEM EDS,Reusability,"Architecture, Design & Implementation",Reusability & Multi-Track,Are automated tests written in a reusable way to support multiple tracks?,High,,
AEM EDS,Reusability,"Architecture, Design & Implementation",Reusability & Multi-Track,"Are documentation, usage guidelines, and code comments maintained for reusable components?",High,,
AEM EDS,Author,Content,Blocks,Ensure all content blocks are defined with clear semantics and structure,High,,
AEM EDS,Author,Content,Section Blocks,Implement section blocks to maintain consistent layout and accessibility,High,,
AEM EDS,Author,Content,Properties Rail,Configure Properties Rail for consistent and intuitive content editing,High,,
AEM EDS,Author,Content,Content Fragment Models,Define and implement content fragment models for structured content reuse,Medium,,
AEM EDS,Author,Content,Inline Editing,Verify inline editing works correctly for all supported components,High,,
AEM EDS,Author,Content,Rich Text Editor,"Ensure RTE configurations (styles, links, formatting) are consistent",Medium,,
AEM EDS,Author,Content,Media Handling,"Validate drag-and-drop of images, videos, and documents works as expected",Medium,,
AEM EDS,Author,Content,Experience Fragments,Check proper authoring and reuse of experience fragments,Medium,,
AEM EDS,Author,Usability,Toolbar & Side Panel,Confirm all toolbar actions and side panels are visible and functional,High,,
AEM EDS,Author,Usability,Contextual Menus,Verify right-click/contextual menus provide correct editing options,Medium,,
AEM EDS,Author,Accessibility,Keyboard Navigation,Ensure all authoring functions are accessible via keyboard shortcuts,High,,
AEM EDS,Author,Accessibility,Screen Reader Support,Check compatibility with screen readers for accessible authoring,Medium,,
AEM EDS,Author,Validation,Content Validation,"Validate mandatory fields, content rules, and workflow triggers",High,,
AEM EDS,Author,Validation,Inline Error Display,Ensure inline errors are visible and informative during editing,High,,
AEM EDS,Pre-GoLive,Code Quality,Certifications,Received certification/approval from third-party agencies on code assessment and application testing (as applicable)?,High,,
AEM EDS,Pre-GoLive,"Architecture, Design & Implementation",Deployment Plan,"Have sufficient privileges been granted on the production system to conduct deployment validation, sanity checks, and RCAs?",High,,
AEM EDS,Pre-GoLive,"Architecture, Design & Implementation",Deployment Plan,Is RunBook prepared (as applicable)?,High,,
AEM EDS,Pre-GoLive,Performance,Development,Are indexes created and optimized for production?,High,,
AEM EDS,Pre-GoLive,"Architecture, Design & Implementation",Development,Has a custom error page been implemented and configured to be cacheable?,Medium,,
AEM EDS,Pre-GoLive,Code Quality,Development,Are code quality and code coverage criteria met?,High,,
AEM EDS,Pre-GoLive,"Architecture, Design & Implementation",Development,Is code merged to master branch and is the release tagged?,High,,
AEM EDS,Pre-GoLive,Customization & Integrations,Development,Is connectivity/integration with backend systems tested?,High,,
AEM EDS,Pre-GoLive,Customization & Integrations,Development,Are data source configurations pointing to production endpoints?,High,,
AEM EDS,Pre-GoLive,"Architecture, Design & Implementation",Development,Are system configurations for production environment available and configured?,High,,
AEM EDS,Pre-GoLive,"Architecture, Design & Implementation",Environment,Are CDN cache rules configured and verified?,High,,
AEM EDS,Pre-GoLive,Performance,Environment,Is the CDN configured considering security non-functional requirements?,High,,
AEM EDS,Pre-GoLive,Code Quality,Non-Functional Requirement,Has approval been received for accessibility and usability validations?,High,,
AEM EDS,Pre-GoLive,Security,Non-Functional Requirement,Passed security audits?,High,,
AEM EDS,Pre-GoLive,Performance,Production Support,Is system monitoring configured for production?,High,,
AEM EDS,Pre-GoLive,Performance,Production Support,Are maintenance routines configured for production?,High,,
AEM EDS,Pre-GoLive,Environment,Non-Functional Requirement,Have production environment configurations been validated against performance benchmarks?,High,,
AEM EDS,Pre-GoLive,Security,Non-Functional Requirement,Are all access privileges reviewed and limited to only required personnel?,High,,
AEM EDS,Pre-GoLive,"Architecture, Design & Implementation",Development,Are performance testing results documented and approved?,High,,
AEM EDS,Pre-GoLive,"Architecture, Design & Implementation",Deployment Plan,Are rollback procedures defined and validated?,High,,
AEM EDS,Pre-GoLive,Security,Non-Functional Requirement,Are vulnerability scans conducted for production environment before GoLive?,High,,
AEM EDS,Pre-GoLive,Non-Functional Requirement,Accessibility,Are accessibility test results approved by stakeholders?,High,,
AEM EDS,Pre-GoLive,Non-Functional Requirement,Usability,Are usability test results approved by stakeholders?,High,,
AEM EDS,Pre-GoLive,Development,CI/CD,"Are all pre-GoLive automated tests passing (unit, integration, E2E)?",High,,
AEM EDS,Pre-GoLive,Development,Code,Are hotfixes applied and merged into master before release?,High,,
AEM EDS,Pre-GoLive,Environment,Environment,Are all production endpoints configured correctly and tested?,High,,
AEM EDS,Pre-GoLive,Customization & Integrations,Integration,Are all 3rd-party integrations verified in production-like environment?,High,,
AEM EDS,Pre-GoLive,"Architecture, Design & Implementation",Artifact Repository,"Are production artifacts stored, versioned, and ready for deployment?",High,,
AEM EDS,Pre-GoLive,Code Quality,Code,Are critical/major code quality issues resolved before GoLive?,High,,
AEM EDS,Pre-GoLive,Performance,Non-Functional Requirement,Are load and stress testing results documented and approved?,High,,
AEM EDS,Pre-GoLive,Security,Non-Functional Requirement,Are security monitoring tools validated for production?,High,,
AEM EDS,Pre-GoLive,Non-Functional Requirement,Performance,Are caching strategies validated for production load and traffic?,High,,
AEM EDS,Pre-GoLive,Environment,Environment,Is CDN security and cache configuration validated for production?,High,,
AEM EDS,Post-GoLive,"Architecture, Design & Implementation",Configuration Management,Are configurations validated on the production environment?,High,,
AEM EDS,Post-GoLive,Security,Environment,Are granted permissions on the production system revoked/limited post-deployment and sanity checks?,Medium,,
AEM EDS,Post-GoLive,Security,Non-Functional Requirement,Are there any security alerts post-deployment? Are these issues prioritized and ETA on closure provided?,High,,
AEM EDS,Post-GoLive,Performance,Non-Functional Requirement,Are there any performance issues reported? Is RCA provided? Is ETA on closure provided?,High,,
AEM EDS,Post-GoLive,"Architecture, Design & Implementation",Development,Are the hotfixes merged to the master and development branches?,High,,
AEM EDS,Post-GoLive,Production Support,System Monitoring,Is system monitoring configured and validated in production?,High,,
AEM EDS,Post-GoLive,Production Support,Maintenance Routines,Are maintenance routines configured and executed for production?,High,,
AEM EDS,Post-GoLive,Environment,Environment,Are environment-specific production configurations documented for audit purposes?,High,,
AEM EDS,Post-GoLive,Security,Non-Functional Requirement,Are security logs monitored and reviewed for post-GoLive period?,High,,
AEM EDS,Post-GoLive,Security,Non-Functional Requirement,Are incident response procedures defined and validated for production?,High,,
AEM EDS,Post-GoLive,Performance,Non-Functional Requirement,"Are load balancing, CDN, and caching mechanisms monitored and optimized post-GoLive?",High,,
AEM EDS,Post-GoLive,Performance,Non-Functional Requirement,Are monitoring alerts configured for SLA violations?,High,,
AEM EDS,Post-GoLive,"Architecture, Design & Implementation",CI/CD,Are production deployments audited for rollback and recovery validation?,High,,
AEM EDS,Post-GoLive,Development,Code,Are all critical bugs identified in post-GoLive phase documented and tracked in Jira?,High,,
AEM EDS,Post-GoLive,Development,CI/CD,Are automated tests scheduled to run in production verification pipeline?,High,,
AEM EDS,Post-GoLive,Non-Functional Requirement,Accessibility,Are accessibility validations periodically monitored post-GoLive?,Medium,,
AEM EDS,Post-GoLive,Non-Functional Requirement,Usability,Are usability feedback and issues tracked post-GoLive?,Medium,,
AEM EDS,Post-GoLive,Security,Non-Functional Requirement,Are SSL/TLS certificates monitored and renewed before expiry?,High,,
AEM EDS,Post-GoLive,Environment,Environment,Are backups and disaster recovery configurations verified for post-GoLive?,High,,
AEM EDS,Post-GoLive,"Architecture, Design & Implementation",Configuration Management,Are versioned configurations stored in SCM for production environment?,High,,
AEM EDS,Post-GoLive,Production Support,System Monitoring,Are alerts configured for critical business workflows and integrations?,High,,
AEM EDS,Post-GoLive,Performance,Non-Functional Requirement,"Are performance metrics (response time, throughput, error rates) reported periodically?",High,,
AEM EDS,Post-GoLive,Security,Non-Functional Requirement,Are penetration tests or security scans planned post-GoLive?,Medium,,
AEM EDS,Post-GoLive,Development,Hotfixes,Are hotfix deployments tracked and documented?,High,,
AEM EDS,Post-GoLive,Customization & Integrations,Integration,Are post-GoLive integrations with external systems verified and stable?,High,,
AEM EDS,Post-GoLive,"Architecture, Design & Implementation",Documentation,Are all post-GoLive operational and technical documents updated?,High,,
AEM EDS,Post-GoLive,Production Support,Monitoring,Are dashboards updated with production metrics for ongoing monitoring?,High,,
AEM EDS,Post-GoLive,Security,Non-Functional Requirement,Are vulnerabilities prioritized and mitigation plans implemented promptly?,High,,
AEM EDS,Post-GoLive,Performance,Non-Functional Requirement,Is post-GoLive capacity planning reviewed for future scaling?,Medium,,
