Phase,Group,Sub-Group,Checklist Item,Importance,Mandatory,Audit Type,Implemented? (Yes / No / NA),Comments,Evidence
Development,HTML Media & Data,Images,Images with role='presentation' or aria-hidden='true' have empty alt; standalone <img> without adjacent text and without alt flagged; hero/banner images verified to have non-empty alt >10 chars; <img> in decorative containers verified to have empty alt or role='presentation',High,Yes,Code Audit,,,
Development,HTML Media & Data,Images,Alt text is not a filename or path; not generic (image/photo/icon/picture/graphic/banner/logo without qualifier); between 5-125 characters; does not duplicate adjacent text content; does not begin with 'image of'/'picture of'/'photo of'; alt on linked images describes destination,Critical,Yes,Code Audit,,,
Development,HTML Media & Data,Tables,Tables use thead and tbody,High,Yes,Code Audit,,,
Development,HTML Media & Data,Tables,Table headers use th,High,Yes,Code Audit,,,
Development,HTML Media & Data,Lists,Lists use ul or ol correctly,High,Yes,Code Audit,,,
Development,HTML Media & Data,Images,Images inside links/buttons or as sole content of a container have non-empty alt text; alt text on linked images does not duplicate parent link text; linked-image alt contains action or destination keyword; alt text length between 5-125 characters,High,Yes,Code Audit,,,
Development,HTML Media & Data,Tables,Tables not used for layout,Critical,Yes,Code Audit,,,
Development,HTML Media & Data,Tables,Table headers have scope,Medium,No,Code Audit,,,
Development,HTML Media & Data,Images,Accessible image role usage,Medium,No,Code Audit,,,
Development,HTML Media & Data,Lists,List semantics not broken by CSS,Medium,No,Code Audit,,,
Development,HTML Metadata & Validation,Metadata,Page <title> exists; is >10 characters; not a default value (Untitled/Document/Home/Page/Website/Welcome); follows consistent pattern across site (e.g. 'Page - Site' or 'Page | Site' separator detected),Critical,Yes,Code Audit,,,
Development,HTML Metadata & Validation,Metadata,Meta viewport configured correctly,High,Yes,Code Audit,,,
Development,HTML Metadata & Validation,IDs,No duplicate IDs,Critical,Yes,Code Audit,,,
Development,HTML Metadata & Validation,IDs,IDs used only when necessary,Medium,No,Code Audit,,,
Development,HTML Metadata & Validation,Validation,No invalid HTML nesting,Critical,Yes,Code Audit,,,
Development,HTML Metadata & Validation,Validation,HTML validates without errors,Critical,Yes,Code Audit,,,
Development,HTML Metadata & Validation,ARIA,ARIA roles do not duplicate native semantics,High,Yes,Code Audit,,,
Development,HTML Metadata & Validation,ARIA,Avoid misuse of ARIA roles,High,Yes,Code Audit,,,
Development,HTML Metadata & Validation,ARIA,ARIA used only when necessary,Medium,No,Code Audit,,,
Development,HTML Metadata & Validation,Metadata,Meta tags do not block zoom,Medium,No,Code Audit,,,
Development,HTML Metadata & Validation,Links,No broken links (run broken-link-checker or linkinator CLI against local build or source HTML),High,Yes,CLI Tool,,,
Development,CSS Architecture & Tokens,Design Tokens,CSS variables used for all colors,Critical,Yes,Code Audit,,,
Development,CSS Architecture & Tokens,Design Tokens,CSS variables used for spacing scale,High,Yes,Code Audit,,,
Development,CSS Architecture & Tokens,Design Tokens,CSS variables used for typography scale,High,Yes,Code Audit,,,
Development,CSS Architecture & Tokens,Design Tokens,No hardcoded hex/rgb color values,Critical,Yes,Linting,,,
Development,CSS Architecture & Tokens,Design Tokens,No hardcoded pixel spacing where tokens exist,High,Yes,Linting,,,
Development,CSS Architecture & Tokens,Maintainability,Consistent naming conventions,High,Yes,Linting,,,
Development,CSS Architecture & Tokens,Maintainability,Class names do not contain hex values or color names as identifiers; no purely positional names (left1/col2); BEM or project naming convention pattern enforced,High,Yes,Linting,,,
Development,CSS Architecture & Tokens,Maintainability,No project/customer prefixes in class names,Medium,No,Code Audit,,,
Development,CSS Architecture & Tokens,Maintainability,No inline styles in markup,Critical,Yes,Linting,,,
Development,CSS Architecture & Tokens,Maintainability,CSS readable without minification,Medium,No,Code Audit,,,
Development,CSS Architecture & Tokens,Maintainability,CSS selectors for same component co-located in same file; no duplicate selectors scattered across files; related rules grouped by component,Medium,No,Code Audit,,,
Development,Layout & Responsiveness,Layout,Layout containers use display:flex or display:grid; no float:left/right for multi-column layouts; no display:table for non-tabular content; absolute positioning in <5% of layout containers,Medium,Yes,Code Audit,,,
Development,Layout & Responsiveness,Layout,Avoid absolute positioning for layout,High,No,Code Audit,,,
Development,Layout & Responsiveness,Layout,Avoid floats for layout,Medium,Yes,Linting,,,
Development,Layout & Responsiveness,Layout,Avoid fixed heights for content containers,High,Yes,Code Audit,,,
Development,Layout & Responsiveness,Responsive,min-width media queries outnumber max-width queries; base styles (outside media queries) target mobile viewport dimensions,Critical,Yes,Code Audit,,,
Development,Layout & Responsiveness,Responsive,Standard breakpoints only,High,Yes,Code Audit,,,
Development,Layout & Responsiveness,Responsive,No mixing min/max width queries,Medium,No,Code Audit,,,
Development,Layout & Responsiveness,Responsive,Responsive images by default,High,Yes,Code Audit,,,
Development,Layout & Responsiveness,Stability,Avoid layout shift during load: all images and media have explicit width/height attributes or CSS aspect-ratio; font-display is set (swap/optional) in @font-face; no dynamic content inserted above the fold via JS on page load,Critical,Yes,Code Audit,,,
Development,Layout & Responsiveness,Layering,Avoid z-index escalation,Medium,No,Code Audit,,,
Development,Performance & Misc - CSS,Performance,Avoid expensive box-shadows,Medium,No,Code Audit,,,
Development,Performance & Misc - CSS,Performance,Avoid heavy CSS filters,Medium,No,Code Audit,,,
Development,Performance & Misc - CSS,Performance,No infinite CSS animations on non-loading elements; animation duration under 1s; total animation count per page within threshold,High,Yes,Code Audit,,,
Development,Performance & Misc - CSS,Compatibility,All CSS properties/values supported in target browsers (checked against caniuse compatibility data); no unprefixed experimental features without fallbacks,Critical,Yes,Code Audit,,,
Development,Performance & Misc - CSS,Compatibility,Fallbacks for unsupported CSS,High,Yes,Code Audit,,,
Development,Performance & Misc - CSS,Compatibility,Avoid vendor prefixes unless required,Medium,No,Linting,,,
Development,Performance & Misc - CSS,Quality,No duplicated CSS rules,High,Yes,Linting,,,
Development,Performance & Misc - CSS,Quality,No unused CSS selectors,High,Yes,Linting,,,
Development,Performance & Misc - CSS,Quality,Consistent property ordering,Medium,No,Linting,,,
Development,JavaScript Architecture & Loading,Loading,No blocking scripts in head,Critical,Yes,Code Audit,,,
Development,JavaScript Architecture & Loading,Loading,Use async or defer appropriately,High,Yes,Code Audit,,,
Development,JavaScript Architecture & Loading,Loading,Third-party scripts lazy loaded,High,Yes,Code Audit,,,
Development,JavaScript Architecture & Loading,Loading,No JS files loaded on pages where their exports are unused; code-split bundles match route usage,High,Yes,Code Audit,,,
Development,JavaScript Architecture & Loading,Loading,No marketing tags in head,Medium,No,Code Audit,,,
Development,JavaScript Architecture & Loading,Loading,Build toolchain presence (webpack/vite/rollup/parcel config) detected and flagged; no build tool = pass,Medium,No,Build Config,,,
Development,JavaScript Architecture & Loading,Loading,Source maps generated for production builds; non-minified source files present in repository,Medium,No,Build Config,,,
Development,JavaScript Architecture & Loading,Loading,User-facing strings in component render/template functions reference i18n keys or constants; hardcoded display strings >3 words flagged,Medium,No,Code Audit,,,
Development,JavaScript Architecture & Loading,Loading,No binaries stored in repository,Medium,No,File Check,,,
Development,JavaScript Architecture & Loading,Loading,Error messages follow consistent pattern (checked via regex); no raw string throws; error constants or error classes used,Medium,Yes,Code Audit,,,
Development,JavaScript DOM & Performance Safety,DOM,Direct DOM API call count (querySelector/appendChild/insertBefore/removeChild) within threshold per file (max 10 per file),High,Yes,Code Audit,,,
Development,JavaScript DOM & Performance Safety,DOM,No large innerHTML assignments (>500 chars of HTML); createElement chains limited to 5 per function; DOM generation concentrated in template/render functions,High,Yes,Code Audit,,,
Development,JavaScript DOM & Performance Safety,DOM,Avoid tight DOM coupling,High,Yes,Code Audit,,,
Development,JavaScript DOM & Performance Safety,DOM,Avoid forced synchronous layouts,Critical,Yes,Code Audit,,,
Development,JavaScript DOM & Performance Safety,DOM,All setTimeout/setInterval calls have corresponding clear calls; timer count per file within threshold (max 3); no timers <100ms,High,Yes,Code Audit,,,
Development,JavaScript DOM & Performance Safety,DOM,setInterval for DOM/state checks flagged (suggest MutationObserver/IntersectionObserver/EventListener); polling intervals <1s flagged,High,Yes,Code Audit,,,
Development,JavaScript DOM & Performance Safety,DOM,Prefer native browser APIs,High,Yes,Code Audit,,,
Development,JavaScript DOM & Performance Safety,DOM,Dependencies with known native browser API equivalents flagged (e.g. lodash.get vs optional chaining); total dependency count and per-dependency bundle size contribution analyzed,High,Yes,Code Audit,,,
Development,JavaScript DOM & Performance Safety,DOM,Avoid jQuery-style patterns,Medium,No,Code Audit,,,
Development,JavaScript DOM & Performance Safety,DOM,Modern ES6+ syntax used,Medium,Yes,Linting,,,
Development,JavaScript State & Reliability,Async,Avoid memory leaks,Critical,Yes,Code Audit,,,
Development,JavaScript State & Reliability,Async,Event listeners cleaned up properly,High,Yes,Code Audit,,,
Development,JavaScript State & Reliability,Async,Async logic uses async/await,High,Yes,Linting,,,
Development,JavaScript State & Reliability,Async,Promises handled correctly,High,Yes,Code Audit,,,
Development,JavaScript State & Reliability,Async,Avoid race conditions,High,Yes,Code Audit,,,
Development,JavaScript State & Reliability,State,State changes occur through defined setters/reducers/actions; no direct state object property mutations outside state management layer,High,Yes,Code Audit,,,
Development,JavaScript State & Reliability,State,No mutation of shared state,High,Yes,Code Audit,,,
Development,JavaScript State & Reliability,State,No side effects in pure functions,High,Yes,Code Audit,,,
Development,JavaScript State & Reliability,State,Consistent return types,Medium,No,Code Audit,,,
Development,JavaScript State & Reliability,State,<noscript> fallback elements present in source HTML where applicable; feature detection (typeof/in operator checks) used before API calls; critical content exists in raw HTML and is not exclusively JS-rendered,Medium,Yes,Code Audit,,,
Development,JavaScript Code Structure & Hygiene,Structure,No global variables,Critical,Yes,Linting,,,
Development,JavaScript Code Structure & Hygiene,Structure,Avoid inline JavaScript,High,Yes,Code Audit,,,
Development,JavaScript Code Structure & Hygiene,Structure,JS scoped to component or block,High,Yes,Code Audit,,,
Development,JavaScript Code Structure & Hygiene,Structure,Consistent coding style,High,Yes,Linting,,,
Development,JavaScript Code Structure & Hygiene,Structure,Functions under 40 lines; parameter count <=4; max nesting depth <=3,High,Yes,Linting,,,
Development,JavaScript Code Structure & Hygiene,Structure,Avoid deeply nested callbacks,High,Yes,Code Audit,,,
Development,JavaScript Code Structure & Hygiene,Structure,Call chain depth <=4 levels; wrapper functions that only delegate flagged; files with >80% re-exports flagged,Medium,No,Code Audit,,,
Development,JavaScript Code Structure & Hygiene,Structure,Defensive input handling,Medium,Yes,Code Audit,,,
Development,JavaScript Code Structure & Hygiene,Structure,No unreachable code,Medium,No,Linting,,,
Development,JavaScript Code Structure & Hygiene,Structure,No empty catch blocks,Medium,Yes,Linting,,,
Development,Code Quality - Hygiene & Safety,Static Safety,Zero lint errors (ESLint/Stylelint),Critical,Yes,Linting,,,
Development,Code Quality - Hygiene & Safety,Static Safety,No unused variables,Critical,Yes,Linting,,,
Development,Code Quality - Hygiene & Safety,Static Safety,No unused functions,Critical,Yes,Linting,,,
Development,Code Quality - Hygiene & Safety,Static Safety,No unused imports,Critical,Yes,Linting,,,
Development,Code Quality - Hygiene & Safety,Static Safety,No dead code paths,High,Yes,Code Audit,,,
Development,Code Quality - Hygiene & Safety,Static Safety,No dead code files (unreferenced modules),High,Yes,Code Audit,,,
Development,Code Quality - Hygiene & Safety,Static Safety,No commented-out production code,High,Yes,Code Audit,,,
Development,Code Quality - Hygiene & Safety,Static Safety,No implicit globals,High,Yes,Linting,,,
Development,Code Quality - Hygiene & Safety,Static Safety,Strict mode enabled where applicable,High,Yes,Linting,,,
Development,Code Quality - Hygiene & Safety,Static Safety,Consistent indentation,Medium,Yes,Linting,,,
Development,Code Quality - Hygiene & Safety,Static Safety,No mixed coding styles,Medium,Yes,Linting,,,
Development,Code Quality - Hygiene & Safety,Static Safety,Consistent file structure,Medium,Yes,Code Audit,,,
Development,Code Quality - Hygiene & Safety,Static Safety,No duplicated constants,Medium,Yes,Code Audit,,,
Development,Code Quality - Structure & Readability,Structure,Cyclomatic complexity average within threshold,High,Yes,Linting,,,
Development,Code Quality - Structure & Readability,Structure,Variable names >2 characters (excluding loop iterators i/j/k/x/y); no single-letter variables outside loops; no anti-pattern names (temp/tmp/data/val/stuff/thing/foo/bar without qualifier); camelCase or snake_case consistent per file,High,Yes,Code Audit,,,
Development,Code Quality - Structure & Readability,Structure,Function names start with verb (get/set/is/has/should/create/update/delete/handle/render/fetch/parse/validate/transform/format/check/find/load/save/remove/add/init/build/compute/on); names >4 characters; no generic names (doStuff/handleIt/process/run without descriptive suffix),High,Yes,Code Audit,,,
Development,Code Quality - Structure & Readability,Structure,Consistent naming conventions,High,Yes,Code Audit,,,
Development,Code Quality - Structure & Readability,Structure,No nested ternary expressions beyond 1 level; no if/else chains >4 branches (suggest switch/object-map); boolean expressions <=3 conditions per statement; complex boolean expressions without intermediate named variable flagged,High,Yes,Code Audit,,,
Development,Code Quality - Structure & Readability,Structure,Component files have <30% non-rendering code; component files >200 LOC with inline business logic (regex/math/data-transform blocks >10 lines) flagged for extraction,High,Yes,Code Audit,,,
Development,Code Quality - Structure & Readability,Structure,Files export <=5 public functions/classes; file content focused on single domain (no mixed utility+component+API patterns detected),High,Yes,Code Audit,,,
Development,Code Quality - Structure & Readability,Structure,Avoid deeply nested conditionals,Medium,Yes,Code Audit,,,
Development,Code Quality - Structure & Readability,Structure,Functions with if-block wrapping >80% of function body flagged for guard-clause inversion; nested if-else >3 levels deep where outermost condition is validation/type-check flagged for early return,Medium,Yes,Code Audit,,,
Development,Code Quality - Structure & Readability,Structure,Average file size under 500 LOC; functions under 40 lines; module boundaries well-defined,Medium,Yes,Code Audit,,,
Development,Code Quality - Structure & Readability,Structure,Files have single responsibility and clear module boundaries,Medium,Yes,Code Audit,,,
Development,Code Quality - Structure & Readability,Structure,README present; consistent file structure; average cyclomatic complexity below threshold; naming conventions consistent; JSDoc coverage above threshold,Medium,Yes,Code Audit,,,
Development,Code Quality - Errors & Reliability,Reliability,Consistent error handling strategy,Critical,Yes,Code Audit,,,
Development,Code Quality - Errors & Reliability,Reliability,Errors logged meaningfully,High,Yes,Code Audit,,,
Development,Code Quality - Errors & Reliability,Reliability,Errors fail gracefully,High,Yes,Code Audit,,,
Development,Code Quality - Errors & Reliability,Reliability,Predictable execution flow,High,Yes,Code Audit,,,
Development,Code Quality - Errors & Reliability,Reliability,Explicit dependencies,High,Yes,Code Audit,,,
Development,Code Quality - Errors & Reliability,Reliability,Avoid magic numbers,Medium,Yes,Code Audit,,,
Development,Code Quality - Errors & Reliability,Reliability,Constants centralized,Medium,Yes,Code Audit,,,
Development,Code Quality - Errors & Reliability,Reliability,Config-driven behavior,Medium,Yes,Code Audit,,,
Development,Code Quality - Errors & Reliability,Reliability,No bitwise operators for basic arithmetic; no manual loop unrolling; micro-optimization patterns flagged,Medium,Yes,Code Audit,,,
Development,Code Quality - Errors & Reliability,Reliability,Abstraction layers <=3 deep; no single-use wrapper classes; factory/strategy patterns have >=2 implementations,Medium,Yes,Code Audit,,,
Development,Code Quality - Errors & Reliability,Reliability,Shared utilities extracted,Medium,Yes,Code Audit,,,
Development,Code Quality - Errors & Reliability,Reliability,Duplicate code percentage within threshold,High,Yes,Code Audit,,,
Development,Code Quality - Architecture & Dependencies,Architecture,Component import frequency analyzed: components imported in >=2 files counted as reused; reuse ratio (reused/total components) >=40%; duplicate JSX/template patterns >10 lines across files flagged as extraction candidates,High,Yes,Code Audit,,,
Development,Code Quality - Architecture & Dependencies,Architecture,No hardcoded environment values,High,Yes,Code Audit,,,
Development,Code Quality - Architecture & Dependencies,Architecture,Avoid circular dependencies,High,Yes,Code Audit,,,
Development,Code Quality - Architecture & Dependencies,Architecture,No stale TODO/FIXME comments; no comments referencing symbols that do not exist in scope; no commented-out code blocks,Medium,Yes,Code Audit,,,
Development,Code Quality - Architecture & Dependencies,Architecture,Comments restating adjacent code flagged; commented-out code blocks >3 lines flagged; TODO/FIXME without issue-tracker reference flagged; JSDoc @param/@return types match actual function signature; comment-to-code ratio between 5-30%,Medium,Yes,Code Audit,,,
Development,HTML Metadata & Validation,Metadata,HTML5 Doctype (<!DOCTYPE html>) present as first line of all HTML pages; no legacy XHTML or HTML4 doctypes,Critical,Yes,Code Audit,,,
Development,HTML Metadata & Validation,Metadata,"Charset meta tag (<meta charset=""UTF-8"">) declared in <head> before any content-producing elements; charset declaration appears within first 1024 bytes of document",Critical,Yes,Code Audit,,,
Development,HTML Metadata & Validation,Metadata,Meta description tag present on all pages; content between 50-160 characters; not a default placeholder value (e.g. 'description' / 'website' / 'page'),High,Yes,Code Audit,,,
Development,HTML Metadata & Validation,Metadata,"Favicon (<link rel=""icon"">) present in <head>; Apple touch icon present where applicable",Medium,No,Code Audit,,,
Development,HTML Metadata & Validation,Metadata,"Canonical URL (<link rel=""canonical"">) present on all indexable pages; href is absolute URL; no duplicate canonical tags per page",High,Yes,Code Audit,,,
Development,HTML Metadata & Validation,Metadata,Language attribute (lang) on <html> element is a valid BCP 47 tag matching page content language; lang attribute not empty or set to 'undefined',High,Yes,Code Audit,,,
Development,HTML Metadata & Validation,Metadata,Direction attribute (dir) specified on <html> or relevant container elements for RTL language pages; value is 'ltr' or 'rtl' matching content language direction,Medium,No,Code Audit,,,
Development,HTML Metadata & Validation,Metadata,Alternate language annotations (hreflang) present for multilingual sites; each hreflang is valid BCP 47 tag; x-default fallback present,Medium,No,Code Audit,,,
Development,HTML Metadata & Validation,Metadata,CSS <link> and <style> tags appear before <script> tags in <head> section; no JavaScript-only <script> inserted before stylesheet <link>,High,Yes,Code Audit,,,
Development,HTML Semantics & Structure,Structure,"External links with target=""_blank"" include rel=""noopener noreferrer"" to prevent tab nabbing and referrer leakage",High,Yes,Code Audit,,,
Development,HTML Metadata & Validation,Validation,Custom error pages for 404 and 5xx HTTP responses exist in source; error pages include site branding and navigation back to homepage,High,Yes,Code Audit,,,
Development,CSS Architecture & Tokens,Maintainability,CSS print stylesheet (@media print) defined; print styles hide non-essential UI elements (navigation/footer/sidebar/ads),Medium,No,Code Audit,,,
Development,CSS Architecture & Tokens,Maintainability,CSS reset or normalize library (reset.css/normalize.css/modern-normalize) imported in global stylesheet; reset styles loaded before component styles,Medium,No,Code Audit,,,
Development,CSS Architecture & Tokens,Design Tokens,Font-family declarations defined at :root or body level using CSS custom properties; component-level stylesheets reference font-family tokens instead of hardcoding font names,High,Yes,Code Audit,,,
Development,HTML Media & Data,Images,Content <img> elements have explicit width and height HTML attributes or CSS aspect-ratio set to reserve layout space and prevent CLS,High,Yes,Code Audit,,,
Development,JavaScript Code Structure & Hygiene,Structure,JSX or template render return block under 50 lines per component; components with render output exceeding 50 lines flagged for decomposition,Medium,No,Code Audit,,,
Development,JavaScript Code Structure & Hygiene,Structure,No unused npm/yarn packages in package.json; depcheck or npm-check analysis confirms all listed dependencies are imported in source code,High,Yes,CLI Tool,,,
Development,JavaScript State & Reliability,State,No setState/dispatch/state-mutation calls inside for/while/do-while/forEach/map/reduce loops; state updates batched or moved outside iteration blocks,High,Yes,Code Audit,,,
Development,JavaScript Code Structure & Hygiene,Structure,No unused component props passed from parent to child; unused prop detection via static analysis or TypeScript strict mode,Medium,No,Code Audit,,,
Development,Layout & Responsiveness,Responsive,"Page layout tested at standard breakpoints using Chrome DevTools Device Toolbar responsive mode: 320px; 375px; 768px; 1024px; 1440px; no horizontal scrollbar at any mobile width; no content overflow or clipping detected",High,Yes,Chrome DevTools,,,
Development,Layout & Responsiveness,Stability,CLS (Cumulative Layout Shift) < 0.1 verified in Chrome DevTools Performance panel recording; no unexpected layout shifts after fonts load or lazy-loaded images render; individual shift scores inspected in Experience section of timeline,Critical,Yes,Chrome DevTools,,,
Development,Layout & Responsiveness,Responsive,Prefers-reduced-motion and prefers-color-scheme media queries tested via Chrome DevTools Rendering panel (More tools > Rendering > Emulate CSS media features); correct visual styles applied under each emulated preference,High,Yes,Chrome DevTools,,,
Development,JavaScript Architecture & Loading,Loading,No render-blocking resources identified in Chrome DevTools Lighthouse report or Performance panel waterfall; third-party scripts do not appear in critical rendering path; async/defer attributes confirmed in Network timeline,High,Yes,Chrome DevTools,,,
Development,JavaScript DOM & Performance Safety,DOM,No console.log or developer debug output active on production build; Chrome DevTools Console panel shows zero developer messages at Verbose/Info level when auditing production URL,High,Yes,Chrome DevTools,,,
Development,JavaScript DOM & Performance Safety,DOM,"No 'Violation' messages (handler took Xms; forced reflow while executing) in Chrome DevTools Console panel during user interactions; violations indicate long-running event handlers or layout thrashing caused by interleaved DOM reads and writes",High,Yes,Chrome DevTools,,,
Development,JavaScript DOM & Performance Safety,DOM,"No forced synchronous layouts (layout thrashing) visible in Chrome DevTools Performance panel flame chart; purple 'Recalculate Style' or 'Layout' blocks triggered inside JS call stacks flagged; scrolling and animation frames remain within 16ms budget",Critical,Yes,Chrome DevTools,,,
Development,JavaScript DOM & Performance Safety,DOM,No excessive repaints on scroll or CSS transitions; verify via Chrome DevTools Rendering panel > Paint flashing checkbox; green flash areas should be minimal and not cover full-page regions on scroll,Medium,No,Chrome DevTools,,,
Development,JavaScript DOM & Performance Safety,DOM,"No detached DOM nodes accumulating after component mount/unmount cycles or SPA route changes; verify via Chrome DevTools Memory panel > Take heap snapshot > filter by 'Detached'; zero detached HTMLElement nodes expected after GC",High,Yes,Chrome DevTools,,,
Development,JavaScript Architecture & Loading,Loading,"Preloaded resources (<link rel='preload'>) are consumed within the page load; no 'The resource was preloaded using link preload but not used within a few seconds' warnings in Chrome DevTools Console; unused preloads waste bandwidth and block the load event",High,Yes,Chrome DevTools,,,
Development,JavaScript Architecture & Loading,Loading,"Source maps present and functional for production builds; Chrome DevTools Sources panel shows original unminified source files and allows setting breakpoints; absence of source maps blocks debuggability and incident response",Medium,No,Chrome DevTools,,,
Development,Layout & Responsiveness,Responsive,"Page reflows correctly at 400% browser zoom (WCAG 1.4.10 Reflow); no horizontal scrollbar required to read content at 1280px viewport width zoomed to 400%; verify by setting zoom in Chrome DevTools Device Toolbar to simulate 320 CSS pixels wide",High,Yes,Chrome DevTools,,,
Development,Layout & Responsiveness,Layering,"Composited layer count within reasonable limits; no excessive use of will-change or translateZ hacks causing layer explosion; verify via Chrome DevTools Layers panel (More tools > Layers); layer memory usage shown per layer",Medium,No,Chrome DevTools,,,
Development,Layout & Responsiveness,Stability,"Web fonts load without FOIT (Flash of Invisible Text); Performance panel film strip shows text visible during font load phase; font-display swap or optional strategy confirmed by absence of blank text frames in Network waterfall timing",High,Yes,Chrome DevTools,,,
